"","match.id","series.id","duration..s.","mode","map","team","win.","score","player","kills","deaths","X...","k.d","kills.per.10min","deaths.per.10min","player.score","player.spm","damage.dealt","event"
"11","eUnited_Lightning Pandas_Frequency_HP_1","eulp",558,"Hardpoint","Frequency","Lightning Pandas","L",139,"Alexx",19,25,-6,0.76,20.43,26.88,3350,360.22,3719,"Vegas"
"12","eUnited_Lightning Pandas_Frequency_HP_1","eulp",558,"Hardpoint","Frequency","Lightning Pandas","L",139,"Dqvee",28,20,8,1.4,30.11,21.51,3540,380.65,4728,"Vegas"
"13","eUnited_Lightning Pandas_Frequency_HP_1","eulp",558,"Hardpoint","Frequency","Lightning Pandas","L",139,"Joshh",22,28,-6,0.79,23.66,30.11,3645,391.94,4702,"Vegas"
"14","eUnited_Lightning Pandas_Frequency_HP_1","eulp",558,"Hardpoint","Frequency","eUnited","W",250,"Prestinni",22,23,-1,0.96,23.66,24.73,3715,399.46,3850,"Vegas"
"15","eUnited_Lightning Pandas_Frequency_HP_1","eulp",558,"Hardpoint","Frequency","eUnited","W",250,"JKap",18,23,-5,0.78,19.35,24.73,2995,322.04,4671,"Vegas"
"16","eUnited_Lightning Pandas_Frequency_HP_1","eulp",558,"Hardpoint","Frequency","eUnited","W",250,"Abezy",19,26,-7,0.73,20.43,27.96,3040,326.88,4157,"Vegas"
"17","eUnited_Lightning Pandas_Frequency_HP_1","eulp",558,"Hardpoint","Frequency","Lightning Pandas","L",139,"MadCat",27,23,4,1.17,29.03,24.73,3185,342.47,5421,"Vegas"
"18","eUnited_Lightning Pandas_Frequency_HP_1","eulp",558,"Hardpoint","Frequency","eUnited","W",250,"Arcitys",24,18,6,1.33,25.81,19.35,3405,366.13,4542,"Vegas"
"19","eUnited_Lightning Pandas_Frequency_HP_1","eulp",558,"Hardpoint","Frequency","eUnited","W",250,"Clayster",38,21,17,1.81,40.86,22.58,5985,643.55,7181,"Vegas"
"20","eUnited_Lightning Pandas_Frequency_HP_1","eulp",558,"Hardpoint","Frequency","Lightning Pandas","L",139,"Peatie",17,25,-8,0.68,18.28,26.88,3615,388.71,4620,"Vegas"
"21","eUnited_Lightning Pandas_Seaside_Control_3","eulp",740,"Control","Seaside","eUnited","W",3,"Clayster",32,12,20,2.67,25.95,9.73,4125,334.46,5588,"Vegas"
"22","eUnited_Lightning Pandas_Seaside_Control_3","eulp",740,"Control","Seaside","eUnited","W",3,"JKap",12,19,-7,0.63,9.73,15.41,2050,166.22,3208,"Vegas"
"23","eUnited_Lightning Pandas_Seaside_Control_3","eulp",740,"Control","Seaside","eUnited","W",3,"Abezy",20,16,4,1.25,16.22,12.97,3425,277.7,3544,"Vegas"
"24","eUnited_Lightning Pandas_Seaside_Control_3","eulp",740,"Control","Seaside","eUnited","W",3,"Arcitys",23,17,6,1.35,18.65,13.78,3275,265.54,4394,"Vegas"
"25","eUnited_Lightning Pandas_Seaside_Control_3","eulp",740,"Control","Seaside","Lightning Pandas","L",1,"Peatie",14,26,-12,0.54,11.35,21.08,2560,207.57,3414,"Vegas"
"26","eUnited_Lightning Pandas_Seaside_Control_3","eulp",740,"Control","Seaside","eUnited","W",3,"Prestinni",20,23,-3,0.87,16.22,18.65,3250,263.51,4636,"Vegas"
"27","eUnited_Lightning Pandas_Seaside_Control_3","eulp",740,"Control","Seaside","Lightning Pandas","L",1,"Alexx",21,15,6,1.4,17.03,12.16,3170,257.03,4237,"Vegas"
"28","eUnited_Lightning Pandas_Seaside_Control_3","eulp",740,"Control","Seaside","Lightning Pandas","L",1,"MadCat",13,18,-5,0.72,10.54,14.59,2395,194.19,3191,"Vegas"
"29","eUnited_Lightning Pandas_Seaside_Control_3","eulp",740,"Control","Seaside","Lightning Pandas","L",1,"Joshh",20,25,-5,0.8,16.22,20.27,2800,227.03,4922,"Vegas"
"30","eUnited_Lightning Pandas_Seaside_Control_3","eulp",740,"Control","Seaside","Lightning Pandas","L",1,"Dqvee",20,22,-2,0.91,16.22,17.84,3385,274.46,4380,"Vegas"
"31","eUnited_Luminosity_Frequency_HP_4","eulg",670,"Hardpoint","Frequency","eUnited","W",250,"Prestinni",25,27,-2,0.93,22.39,24.18,4190,375.22,5062,"Vegas"
"32","eUnited_Luminosity_Frequency_HP_4","eulg",670,"Hardpoint","Frequency","eUnited","W",250,"Clayster",31,19,12,1.63,27.76,17.01,5095,456.27,6246,"Vegas"
"33","eUnited_Luminosity_Frequency_HP_4","eulg",670,"Hardpoint","Frequency","Luminosity","L",148,"Formal",26,25,1,1.04,23.28,22.39,3955,354.18,4924,"Vegas"
"34","eUnited_Luminosity_Frequency_HP_4","eulg",670,"Hardpoint","Frequency","eUnited","W",250,"Arcitys",32,15,17,2.13,28.66,13.43,4770,427.16,5812,"Vegas"
"35","eUnited_Luminosity_Frequency_HP_4","eulg",670,"Hardpoint","Frequency","Luminosity","L",148,"Gunless",23,25,-2,0.92,20.6,22.39,3280,293.73,4943,"Vegas"
"36","eUnited_Luminosity_Frequency_HP_4","eulg",670,"Hardpoint","Frequency","Luminosity","L",148,"Slacked",20,24,-4,0.83,17.91,21.49,2555,228.81,4394,"Vegas"
"37","eUnited_Luminosity_Frequency_HP_4","eulg",670,"Hardpoint","Frequency","eUnited","W",250,"Abezy",21,22,-1,0.95,18.81,19.7,3220,288.36,3996,"Vegas"
"38","eUnited_Luminosity_Frequency_HP_4","eulg",670,"Hardpoint","Frequency","Luminosity","L",148,"Classic",20,25,-5,0.8,17.91,22.39,2555,228.81,4865,"Vegas"
"39","eUnited_Luminosity_Frequency_HP_4","eulg",670,"Hardpoint","Frequency","Luminosity","L",148,"John",19,25,-6,0.76,17.01,22.39,3060,274.03,4176,"Vegas"
"40","eUnited_Luminosity_Frequency_HP_4","eulg",670,"Hardpoint","Frequency","eUnited","W",250,"JKap",17,24,-7,0.71,15.22,21.49,2890,258.81,3503,"Vegas"
"41","eUnited_Luminosity_Hacienda_HP_1","eulg",760,"Hardpoint","Hacienda","eUnited","W",250,"JKap",23,30,-7,0.77,18.16,23.68,3370,266.05,4575,"Vegas"
"42","eUnited_Luminosity_Hacienda_HP_1","eulg",760,"Hardpoint","Hacienda","eUnited","W",250,"Prestinni",27,37,-10,0.73,21.32,29.21,3985,314.61,5136,"Vegas"
"43","eUnited_Luminosity_Hacienda_HP_1","eulg",760,"Hardpoint","Hacienda","Luminosity","L",248,"Gunless",35,27,8,1.3,27.63,21.32,5120,404.21,6109,"Vegas"
"44","eUnited_Luminosity_Hacienda_HP_1","eulg",760,"Hardpoint","Hacienda","Luminosity","L",248,"John",32,24,8,1.33,25.26,18.95,4840,382.11,5891,"Vegas"
